,original,paraphrase,output,output_reference
162,"And han hem caried softe unto the tente
",he was carrying a bag of han to the tent., He carried a han to the tent.,"And have carried them softy unto the tent
"
163,"Of Theseus; and he ful soone hem sente
","he sent them all to the same place, and they all went to the same place."," And he sent them all to the same place, and they all went to the same place.","Of Theseus; and he very soon sent them
"
164,"To Atthenes, to dwellen in prisoun
","Atthenes, to live in the prisouns"," Atthenes, to live in prisouns","To Athens, to dwell in prison
"
165,"Perpetuelly -- he nolde no raunsoun.
","he's not a raunsoun, he's not a raunsoun."," He is not a raunsoun, he is not a raunsoun.","Perpetually -- he would not (accept) any ransom.
"
166,"And whan this worthy duc hath thus ydon,
","when the worthy duc is thus honored, then the duc will be honored."," When the worthy duc is thus honored, then the duc shall be honored.","And when this worthy duke has thus done,
"
167,"He took his hoost, and hoom he rit anon
","he took his hoof and hoofed, and he hoofed."," And he took his hoof and hoofed, and he hoof'd.","He took his army, and home he rides straightway
"
168,"With laurer crowned as a conquerour;
",the king of Laurer has been crowned as a conqueror;, The king of Laurer has been crowned as a conqueror;,"As a conqueror crowned with laurel;
"
169,"And ther he lyveth in joye and in honour
","he joyfully and honorably, and with joy and joy."," He joyfully and honorably, and with joy and joy.","And there he lives in joy and in honor
"
170,"Terme of his lyf; what nedeth wordes mo?
",what wordes do you want to say to me?, What wordes do you wish to say to me?,"For the duration of his life; what more words are needed?
"
171,"And in a tour, in angwissh and in wo,
","in a tour, in angwissh and in wo,"," In a tour, in angwissh and in wo,","And in a tower, in anguish and in woe,
"
172,"This Palamon and his felawe Arcite
",Palamon and his felawe arcite Palamon and his felawe arcite Palamon and his felawe arcite Palamon..., Palamon and his felawe arcite PalâĢĻs felawe arcite PalâĢĻs felawe arcite,"This Palamon and his fellow Arcite
"
173,"For everemoore; ther may no gold hem quite.
",Everemoore; it's not possible to have a gold hem., Everemoore; it is not possible to have a gold hem.,"For evermore (remain); no gold can ransom them.
"
174,"This passeth yeer by yeer and day by day,
","he passes by day and night, and every day, day and night."," And passeth day and night, and every day and night.","This passes year by year and day by day,
"
175,"Till it fil ones, in a morwe of May,
","until the morrow, when the morrow is the day of the May."," Until the morrow, till the morrow is the day of the May","Until it befell once, in a morning of May,
"
176,"That Emelye, that fairer was to sene
","Emelye, the fairer of the two was the one that was the best."," Emelye, fairest of the two was the one that was the best.","That Emelye, who was fairer to be seen
"
177,"Than is the lylie upon his stalke grene,
",then he's a lylie on the grene of the lylie., Then he is a lylie on the grene of the lylie.,"Than is the lily upon its green stalk,
"
178,"And fressher than the May with floures newe --
",further than the May with a new wave of fressher --, And further than the May with a new wave of fressher--,"And fresher than the May with new flowers --
"
179,"For with the rose colour stroof hire hewe,
","with the rose color, he's a hire, he's a hire, he's a hire."," With rose-colored rose, he is hire, hire, hire, hire, hire, hire, hire, hire, hire, hire, hire, ","For her hue vied with color of the rose,
"
180,"I noot which was the fyner of hem two --
","noot, which was the fyner of the two of them --", And the fyner of the two of them--,"I do not know which was the finer of them two --
"
181,"Er it were day, as was hir wone to do,
","as was the case with the day, as well as the day, as well as the day, as well as the day, as well..."," As was the case with the day, as well as the day, as well as the day, as well as the day, as well as the day, as well as the day, as well as the day, as well as the day, as well","Before it was day, as was her custom to do,
"
182,"She was arisen and al redy dight,
","she was born and she was red, and she was red, and she was red, and she was red, and she was red,..."," And she was born and was red, and she was red, and she was red, and she was red, and she was red, and she was red, and she was red, and she was red, and she was red, and she was red, and she was red, and she","She was arisen and all ready prepared,
"
183,"For May wole have no slogardie anyght.
",May's not gonna have any of the slogans., May not have any of the slogans,"For May will have no laziness at night.
"
184,"The sesoun priketh every gentil herte,
","the sesouns of the gentil gentil, the sesouns of the gentil."," The sesouns of the gentil, the sesouns of the gentil.","The season urges on every gentle heart,
"
185,"And maketh it out of his slep to sterte,
","he's got a lot of work to do, so he's got to go."," He has a lot of work to do, so he has to go.","And makes it out of its sleep to awake suddenly,
"
186,"And seith ""Arys, and do thyn observaunce.""
","""Arys, and you will be observant."""," "" Arys, and ye shall be observant.","And says ""Arise, and do thy observance.""
"
187,"This maked Emelye have remembraunce
",Emelye remembered the memory of the memory of the memory of the memory of the memory of the memory..., Emelye remembered the memory of the memory of the memory of the memory...,"This made Emelye remember
"
188,"To doon honour to May, and for to ryse.
",for the honor of May and for the sake of Ryse., For the honor of May and for the sake of Ryse.,"To do honor to May, and to rise.
"
189,"Yclothed was she fressh, for to devyse:
","she was dressed in a robe, for she was a woman:"," She was dressed in a robe, for she was a woman:","She was gaily clothed, so to say:
"
190,"Hir yelow heer was broyded in a tresse
",he was a tresse of a tresse., Tresse of a tresse,"Her yellow hair was braided in a tress
"
191,"Bihynde hir bak, a yerde long, I gesse.
","I'm a long way to go, I'm a long way to go, I'm a long way to go."," I am a long way to go, I am a long way to go, I am a long way to go","Behind her back, a yard long, I guess.
"
192,"And in the gardyn, at the sonne upriste,
","in the garden of the sonne-to-son, in the garden of the sonne-to-son, in the garden of the..."," In the garden of the sonne-to-son, in the garden of the sonne-to-son, in the garden of the...","And in the garden, at the rising of the sun,
"
193,"She walketh up and doun, and as hire liste
","he walks up and down, and as a hire-liste."," He walks up and down, and as a hire-liste.","She walks up and down, and as she pleases
"
194,"She gadereth floures, party white and rede,
","gadereth floures, party white and red,
gadereth floures, party white and red."," Gadereth floures, party white and red,","She gathers flowers, mixed white and red,
"
195,"To make a subtil gerland for hire hede;
",hede's a subtil gerland for hire;, Hede a subtil gerland for hire;,"To make an intricate garland for her head;
"
196,"And as an aungel hevenysshly she soong.
","as a woman, she was a woman, she was a woman, she was a woman."," As a woman, as a woman, as a woman, as a woman, as a woman, as a woman, as a woman, as a woman, as a woman, as a woman, as a woman, as a woman, as a woman, as a woman, as a woman, as a woman,","And she sang (as) heavenly as an angel.
"
197,"The grete tour, that was so thikke and stroong,
","the grete tour was so good and so strong,
the grete tour was great and strong."," The grete tour was so good and so strong,","The great tower, that was so thick and strong,
"
198,"Which of the castel was the chief dongeoun
",the chief of the castle was the chief of the castle., The chief of the castle was the chief of the castle.,"Which was the main fortification of the castle
"
199,"(Ther as the knyghtes weren in prisoun
",the knyghtes were in the prisoun of the knyghtes., The knyghtes were in the prisoun of the knyghtes.,"(Where the knights were in prison
"
200,"Of which I tolde yow and tellen shal),
","I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling you, I'm telling..."," IâĢĻâĢĻâĻt tell you, IâĢĻâĻâĢĻt tell you, IâĢĻĻâĢĻt tell you, Iâ�","Of which I told yow and shall tell),
"
201,"Was evene joynant to the gardyn wal
",the gardyn wal is joynant to the gardyn wal., The gardyn wal is joynant to the gardyn wal.,"Was just next to the garden wall
"
202,"Ther as this Emelye hadde hir pleyynge.
",Emelye had a pleyynge in her hand., Emelye had a pleyynge in her hand.,"Where this Emelye took her pleasure.
"
203,"Bright was the sonne and cleer that morwenynge,
","the son of a man and a woman, a man and a woman, a man and a woman, a man and a woman."," And the son of a man and a woman, a man and a woman, a man and a woman, a man and a woman, a man and a woman, a man and a woman.","The sun was bright and clear that morning,
"
