,original,paraphrase,output,output_reference
176,"That Emelye, who was fairer to be seen
","Emelye, who was more beautiful to look at."," Emelye, who was more beautiful to look at.","That Emelye, that fairer was to sene
"
177,"Than is the lily upon its green stalk,
",then the green stalk of the lily is on the green stalk., Then the green stalk of lily is on the green stalk.,"Than is the lylie upon his stalke grene,
"
178,"And fresher than the May with new flowers --
","the fresher the flowers are, the better the flowers are."," The fresher flowers are, the better the flowers are.","And fressher than the May with floures newe --
"
179,"For her hue vied with color of the rose,
","she was a color of the rose, and the color of the rose."," And she was a color of rose, and the color of rose.","For with the rose colour stroof hire hewe,
"
180,"I do not know which was the finer of them two --
",I don't know which was the better of them two --, I don't know which was the better of them--,"I noot which was the fyner of hem two --
"
181,"Before it was day, as was her custom to do,
","she was busy with her day, as usual."," She was busy with her day, as usual.","Er it were day, as was hir wone to do,
"
182,"She was arisen and all ready prepared,
","all ready to go, and all ready to go, and all ready to go, and all ready to go, and all ready"," All ready to go, and all ready to go, and all ready to go, and all ready to go, and all ready to go, and all ready to go, and all ready to go, and all ready to go, and all ready to go, and all ready","She was arisen and al redy dight,
"
183,"For May will have no laziness at night.
","on the night of May, there will be no laziness."," On the night of May, there shall be no laziness.","For May wole have no slogardie anyght.
"
184,"The season urges on every gentle heart,
","the season is a call for all the gentle souls,"," The season is a call for all the gentle souls,","The sesoun priketh every gentil herte,
"
185,"And makes it out of its sleep to awake suddenly,
","he wakes up suddenly, and he's suddenly awake."," He wakes up suddenly, and wakes up suddenly.","And maketh it out of his slep to sterte,
"
186,"And says ""Arise, and do thy observance.""
","""come, and take your oath."" Said the priest. ""Do you swear?"" The priest asked."," And, ""Come, and take thy oath, "" said the priest.","And seith ""Arys, and do thyn observaunce.""
"
187,"This made Emelye remember
",she remembered the memory of the memory of the memory of the memory of the memory of the memory of..., She remembered the memory of the memory of the memory of the memory of...,"This maked Emelye have remembraunce
"
188,"To do honor to May, and to rise.
","to honor the memory of May, and to rise."," To honor the memory of May, and to rise.","To doon honour to May, and for to ryse.
"
189,"She was gaily clothed, so to say:
","she was dressed in a gaily dress, so she was:"," She was dressed in a gaily dress, so:","Yclothed was she fressh, for to devyse:
"
190,"Her yellow hair was braided in a tress
",yellow hair was tied with a tousled hair., Yellow hair tied with tousled hair.,"Hir yelow heer was broyded in a tresse
"
191,"Behind her back, a yard long, I guess.
",I guess it's a yard long. It's probably a yard long., I guess it's a yard long,"Bihynde hir bak, a yerde long, I gesse.
"
192,"And in the garden, at the rising of the sun,
","in the garden, when the sun rises, the sun rises."," And in the garden, when the sun rises, the sun rises.","And in the gardyn, at the sonne upriste,
"
193,"She walks up and down, and as she pleases
","she's going to walk, and as she likes."," She will walk, and as she likes.","She walketh up and doun, and as hire liste
"
194,"She gathers flowers, mixed white and red,
","he's collecting flowers, mixed white and red, mixed with red."," He gathers flowers, mixed with white and red,","She gadereth floures, party white and rede,
"
195,"To make an intricate garland for her head;
",to make a complex decoration on her head;, To make a complex decoration on her head;,"To make a subtil gerland for hire hede;
"
196,"And she sang (as) heavenly as an angel.
",she sang as a heavenly angel., She sang as a heavenly angel.,"And as an aungel hevenysshly she soong.
"
197,"The great tower, that was so thick and strong,
","the great tower, the great tower, the great tower, the great tower, the great tower, the great..."," And the great tower, the great tower, the great tower, the great tower, the great tower, the great tower, the great tower, the great tower, the great tower, the great tower, the great tower, the great tower, the great tower, the great tower, the great tower","The grete tour, that was so thikke and stroong,
"
198,"Which was the main fortification of the castle
",the main fortress of the castle was built by the castle itself., The main castle of the castle was built by the castle itself.,"Which of the castel was the chief dongeoun
"
199,"(Where the knights were in prison
","where the knights were in jail, the knights were in jail."," Where the knights were in jail, the knights were in jail.","(Ther as the knyghtes weren in prisoun
"
200,"Of which I told yow and shall tell),
","I'll tell you what I want to tell you, and I'll tell you what I want to tell you."," I'll tell you what I want to tell you, and I'll tell you what I want to tell you.","Of which I tolde yow and tellen shal),
"
201,"Was just next to the garden wall
","next to the garden wall, next to the garden wall."," Next to the garden wall, next to the garden wall.","Was evene joynant to the gardyn wal
"
202,"Where this Emelye took her pleasure.
",she enjoyed the pleasure of Emelye., She enjoyed the pleasure of Emelye.,"Ther as this Emelye hadde hir pleyynge.
"
203,"The sun was bright and clear that morning,
",the sun was shining brightly and clear that morning., The sun shone brightly and clear that morning.,"Bright was the sonne and cleer that morwenynge,
"
204,"And Palamon, this woeful prisoner,
","the prisoner of Palamon, the prisoner of Palamon, the prisoner of Palamon."," The prisoner of Palamon, the prisoner of PalâĢĻs, the prisoner of PalâĢĻs, the prisoner of PalâĢĻs, the prisoner of PalâĢĻs, the prisoner of PalâĢĻs, the prisoner of Palâ","And Palamoun, this woful prisoner,
"
205,"As was his custom, by permission of his jailer,
","he was allowed to go to his cell, and he was taken to the cell by his jailer."," And he was taken to the cell, and was taken unto the cell by his jailer.","As was his wone, by leve of his gayler,
"
206,"Had risen and roamed in a chamber on high,
","the room was high and spacious, and the room was full of people."," And the room was high and spacious, and the room was full of people.","Was risen and romed in a chambre an heigh,
"
207,"In which he saw all the noble city,
","and he saw the noble city, and he saw the noble city."," And behold, and behold, and behold, and behold, and behold, and behold, and behold, and","In which he al the noble citee seigh,
"
208,"And also the garden, full of green branches,
","the garden, full of green leaves, the garden, full of green leaves, the garden, full of green..."," And the garden, full of green leaves, the garden, full of green leaves, the garden, full of green...","And eek the gardyn, ful of braunches grene,
"
209,"Where this fresh Emelye the bright
","the bright Emelye, the bright Emelye, the bright Emelye, the bright Emelye,"," Bright Emelye, bright Emelye, bright Emelye,","Ther as this fresshe Emelye the shene
"
210,"Was in her walk, and roamed up and down.
","she walked, and she walked, and she walked, and she walked."," And she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and she walked, and","Was in hire walk, and romed up and doun.
"
