,Original,Paraphrased,Modern
903,"And though he first for ire quook and sterte,
","but then he was angry with the quilt, and he was angry with the quilt.","And though he first for anger shook and trembled,
"
904,"He hath considered shortly, in a clause,
","he's thinking of the clause, and he's thinking of the clause, and he's thinking of the clause, and he's thinking of the clause, and","He has considered shortly, in brief,
"
905,"The trespas of hem bothe, and eek the cause,
","the cause of the breach of the law, and the cause of the breach of the law.","The trespass of them both, and also the cause,
"
906,"And although that his ire hir gilt accused,
","although he accused him of being a traitor, he was not a traitor.","And although his anger reproached them for their guilt,
"
907,"Yet in his resoun he hem bothe excused,
","he apologized, and said he was sorry. He said he was sorry. He apologized. He apologized. He apologized. He apologized. He apologized. He apologized","Yet in his reason he excused them both,
"
908,"As thus: he thoghte wel that every man
","he's a man, he's a man, he's a man, he's a man, he's a man, he's a man, he's","As thus: he thought well that every man
"
909,"Wol helpe hymself in love, if that he kan,
","if he can, he will love himself, if he can.","Will help himself in love, if he can,
"
910,"And eek delivere hymself out of prisoun.
","eek, he's out of the prisoun.","And also deliver himself out of prison.
"
911,"And eek his herte hadde compassioun
","he was a compass of the compass, and he was a compass of the compass.","And also his heart had compassion
"
912,"Of wommen, for they wepen evere in oon,
","we're in the oon, we're in the oon, we're in the oon.","Of women, for they weep continually,
"
913,"And in his gentil herte he thoughte anon,
","he was a gentil herte, a gentil herte, a gentil herte.","And in his gentle heart he thought straightway,
"
914,"And softe unto hymself he seyde, ""Fy
","""Fy"" he said, ""Fy"" he said, ""Fy"" he said, ""Fy"" he said, ""Fy""","And softly to himself he said, ""Fie
"
915,"Upon a lord that wol have no mercy,
","for the lord of the lord, he doesn't care about mercy.","Upon a lord that will have no mercy,
"
916,"But been a leon, bothe in word and dede,
","he was a leon, a bothe in speech and deed,
he was a leon, a bothe in speech and deed.","But be a lion, both in word and deed,
"
917,"To hem that been in repentaunce and drede,
",he was in the repentant and the dung of the earth.,"To those who are in repentance and fear,
"
918,"As wel as to a proud despitous man
","as a proud, proud, proud man.","As well as to a proud, spiteful man
"
919,"That wol mayntene that he first bigan.
","he may not be able to do it first, but he can.","Who will persist in what he first began.
"
920,"That lord hath litel of discrecioun,
","the Lord's discoverer, the discoverer of the discoverer, the discoverer of the discoverer, the discoverer of","That lord has little sound judgment,
"
921,"That in swich cas kan no divisioun
","in the case of a woman, it's a woman's case, not a man's case.","That in such cases knows no distinctions
"
922,"But weyeth pride and humblesse after oon.""
","weyeth pride and humility, after the oon. ""","But considers pride and humility equal.""
"
923,"And shortly, whan his ire is thus agoon,
","when his anger is so agitated, he will soon be agitated.","And shortly, when his anger is thus gone,
"
924,"He gan to looken up with eyen lighte
",gan to look up with a flashlight beam.,"He began to look up with bright eyes
"
925,"And spak thise same wordes al on highte:
",he said the same word as he had said:,"And spoke these same words all aloud:
"
926,"""The god of love, a benedicite!
","the love of the gods, a benedicite!","""The god of love, ah, bless my soul!
"
927,"How myghty and how greet a lord is he!
","how nice it is to meet you, myghty! How kind of you to meet me!","How mighty and how great a lord is he!
"
928,"Ayeyns his myght ther gayneth none obstacles.
","yes, myght he's not gonna be any obstacles.","Against his power there avail no obstacles.
"
929,"He may be cleped a god for his myracles,
",maybe he'll be a god for myracles.,"He may be called a god for his miracles,
"
930,"For he kan maken, at his owene gyse,
","he's got a lot of work to do, so he's got to work hard.","For he can make, as he pleases,
"
931,"Of everich herte as that hym list divyse.
",as the hym list of the hym list of the hym list.,"Of every heart whatever he wants to devise.
"
932,"Lo heere this Arcite and this Palamoun,
","he's got a Palamoun and a Palamoun, and he's got a Palamoun.","Lo here this Arcite and this Palamon,
"
933,"That quitly weren out of my prisoun,
",I'm sure I'm not going to be able to go to the Prisoun.,"Who freely were out of my prison,
"
934,"And myghte han lyved in Thebes roially,
",the gynnish gynnish gynnish gynnish gynnish gynnish gynnish gynn,"And could have lived royally in Thebes,
"
935,"And witen I am hir mortal enemy,
","I'm a mortal enemy to you, I'm a mortal enemy to you.","And know I am their mortal enemy,
"
936,"And that hir deth lith in my myght also,
",and I'm also a hir deth lith in myght.,"And that their death lies in my power also,
"
937,"And yet hath love, maugree hir eyen two,
","but love, maugree hir, two, but not the same.","And yet has Love, despite anything they could do,
"
938,"Broght hem hyder bothe for to dye.
","he's got a lot of work to do, so he's got a lot of work to do.","Brought them both hither to die.
"
939,"Now looketh, is nat that an heigh folye?
",looks like a heigh-folye?,"Now look, is that not a great folly?
"
940,"Who may been a fool but if he love?
","if he likes it, he's a fool, but if he likes it, he's a fool.","Who can be a fool unless he is in love?
"
941,"Bihoold, for Goddes sake that sit above,
","for God's sake, the seat is over there, for God's sake.","Behold, for the sake of God who sits above,
"
942,"Se how they blede! Be they noght wel arrayed?
",how they're going to be? How do they look? How do they look? How do they look? How do they look? How do they look?,"See how they bleed! Are they not in fine condition?
"
943,"Thus hath hir lord, the god of love, ypayed
","the Lord of Love, the love of the gods, the love of the gods, the love of the gods, the love of the gods, the love of","Thus has their lord, the god of love, paid
"
944,"Hir wages and hir fees for hir servyse!
",the wages and fees of the servants and the wages of the servants!,"Their wages and their fees for their service!
"
945,"And yet they wenen for to been ful wyse
","they wanted to be wisest of all, but they were wisest of all.","And yet they consider themselves very wise,
"
946,"That serven love, for aught that may bifalle.
","love, love, love, love, love, love, love, love, love, love, love, love, love, love, love, love,","Those who serve love, whatever may happen.
"
947,"But this is yet the beste game of alle,
","it's the best game of all, alle, alle, alle, alle, alle, alle, alle, alle, alle, alle, alle, alle,","But this is yet the best joke of all,
"
948,"That she for whom they han this jolitee
",the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one,"That she for whom they have this sport
"
949,"Kan hem therfore as muche thank as me.
","as I'm sorry to say, I'm sorry to say, but I'm sorry to say.","Owes them as much gratitude for this as she owes me.
"
950,"She woot namoore of al this hoote fare,
","wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow, wow,","She knows no more of all this passionate business,
"
951,"By God, than woot a cokkow or an hare!
","God, it's a cokkow or a hare!","By God, than knows a cuckoo or a hare!
"
952,"But all moot ben assayed, hoot and coold;
","all the moots were taken, hooted and coiled;","But all must be tried, hot or cold;
"
953,"A man moot ben a fool, or yong or oold --
","a man who's a fool, or a fool, or a fool.","A man must be a fool, either young or old --
"
954,"I woot it by myself ful yore agon,
","I'm glad I'm alone, I'm glad I'm alone, I'm glad I'm alone, I'm glad I'm alone.","I know it by my own experience very long ago,
"
955,"For in my tyme a servant was I oon.
",I was a servant in my time.,"For in my time I was a servant (of love).
"
956,"And therfore, syn I knowe of loves peyne
","so I know I love you, so I'm gonna love you.","And therefore, since I know of love's pain
"
957,"And woot hou soore it kan a man distreyne,
","wow, it's a man's distressing, so it's a shame.","And know how sorely it can afflict a man,
"
958,"As he that hath ben caught ofte in his laas,
","he's caught in the lance, and he's caught in the lance.","As one who has been often caught in its snare,
"
959,"I yow foryeve al hoolly this trespaas,
","you're gonna be a good boy, you'll be a good boy, you'll be a good boy.","I wholly forgive you this trespass,
"
960,"At requeste of the queene, that kneleth heere,
","the kneleth of the Queene, the Queene's kneleth, the Queene's kneleth.","At the request of the queen, who kneels here,
"
961,"And eek of Emelye, my suster deere.
","Emelye, my suster of the eel.","And also of Emelye, my dear sister.
"
962,"And ye shul bothe anon unto me swere
","you're telling me to go to the bathroom, you're telling me to go to the bathroom.","And you must both immediately swear unto me
"
963,"That nevere mo ye shal my contree dere,
","nevere, I'm not gonna let you go, nevere, I won't let you go.","That you shall never more harm my country,
"
964,"Ne make werre upon me nyght ne day,
","I'm gonna be on my way, nyght nyght nyght nyght nyght nyght","Nor make war upon me at any time,
"
965,"But been my freendes in all that ye may.
","I'm all for you, my freendes.","But be my friends in all that you can.
"
966,"I yow foryeve this trespas every deel.""
","""you're gonna have to go to the deel.""","I forgive you this trespass completely.""
"
967,"And they hym sworen his axyng faire and weel,
","he's a little bit of a hym, a little bit of a hym, a little bit of a hym.","And they fairly and well swore to him (to do) his request,
"
968,"And hym of lordshipe and of mercy preyde,
",the hym of the Lordshipe and the mercy of the prey.,"And prayed him to be their lord and to have mercy ,
"
969,"And he hem graunteth grace, and thus he seyde:
","he said, and he said, and he said, and he said:","And he grants them his favor, and thus he said:
"
970,"""To speke of roial lynage and richesse,
","to be a rich man's man, a rich man's man, a rich man's man.","""To speak of royal lineage and riches,
"
971,"Though that she were a queene or a princesse,
","she was a woman, a prince, a princess, a princess, a princess, a princess, a princess, a princess, a princess, a princess,","Though she were a queen or a princess,
"
972,"Ech of you bothe is worthy, doutelees,
","you're a good man, doutel, you're a good man, doutel, you're a good man, doutel, you're","Each of you both is worthy, doubtless,
"
973,"To wedden whan tyme is; but nathelees --
","the wedding is a wedding, but it's not a wedding.","To wed when it is time; but none the less --
"
974,"I speke as for my suster Emelye,
","I'm going to go to the suster Emelye, as I have done before.","I speak for my sister Emelye,
"
975,"For whom ye have this strif and jalousye --
",who's the strif and jalousye you're looking for --,"For whom you have this strife and jealousy --
"
976,"Ye woot yourself she may nat wedden two
",you're gonna be able to get married to two.,"You know yourself she can not wed two
"
977,"Atones, though ye fighten everemo,
","but you're fighting for the sake of the fight, not for the sake of the fight.","At once, though you were to fight for evermore,
"
978,"That oon of you, al be hym looth or lief,
","you're a fool, or you're a fool, or you're a fool, or you're a fool, or you're a fool, or you're","That one of you, whether he likes it or not,
"
979,"He moot go pipen in an yvy leef;
",mullen in a yvy leef;,"He must go whistle in an ivy leaf;
"
980,"This is to seyn, she may nat now han bothe,
","she may be a little bit of a bothe, but she's gonna be fine.","This is to say, she can not now have both,
"
981,"Al be ye never so jalouse ne so wrothe.
","never mind the jalouse, never mind the wrothe.","Although you be never so jealous nor so angry.
"
982,"And forthy I yow putte in this degree,
","I'm gonna put it on this level, I'll put it on this level, I'll put it on this level, I'll put it on this level","And therefore I put you in this situation,
"
983,"That ech of yow shal have his destynee
",he's got a destynee on his own.,"That each of you shall have his destiny
"
984,"As hym is shape, and herkneth in what wyse;
","hym is shape, and she's in what wyse;","As is ordained for him, and listen in what way;
"
985,"Lo, heere youre ende of that I shal devyse.
","you're gonna be a good boy, I'm sure you'll be a good boy.","Lo, hear what I shall arrange for your fate.
"
986,"My wyl is this, for plat conclusioun,
","for the plat-conclusioun, the wyl is this.","My will is this, for flat conclusion,
"
987,"Withouten any repplicacioun --
",no repplicacioun -- no repplicacioun -- no repplicacioun -- no repplicacioun -- no repplic,"Without any arguing --
"
988,"If that you liketh, take it for the beste:
",take it as best you can:,"If this pleases you, take it for the best:
"
989,"That everich of you shal goon where hym leste
","wherever you go, you'll be shal where you're going.","That each one of you shall go where he pleases
"
990,"Frely, withouten raunson or daunger,
","withouten raunson or daunger, withouten raunson or daunger.","Freely, without ransom or resistance,
"
991,"And this day fifty wykes, fer ne ner,
","this day, fifty wykes, for naught, for naught, for naught, for naught, for naught, for naught,","And fifty weeks from this day, more or less,
"
992,"Everich of you shal brynge an hundred knyghtes
",you'll be a hundred knyghtes in a minute.,"Each one of you shall bring a hundred knights
"
993,"Armed for lystes up at alle rightes,
","for the sake of the lystes, the lystes, the lystes, the lystes, the lystes, the","Armed up for the lists in all respects,
"
994,"Al redy to darreyne hire by bataille.
",it's a shame that the bataille hired by bataille is a shame.,"All ready to decide the right to her by battle.
"
995,"And this bihote I yow withouten faille,
","I'm not gonna fail, I'm not gonna fail, I'm not gonna fail.","And this I promise you without fail,
"
996,"Upon my trouthe, and as I am a knyght,
","I'm a knyght, and I'm a knyght, and I'm a knyght.","Upon my word, and as I am a knight,
"
997,"That wheither of yow bothe that hath myght --
",whenever I have aught to do with yow --,"That whichever of you both who has the power --
"
998,"This is to seyn, that wheither he or thow
","he's a seyn, that he's a seyn, that he's a seyn, that he's a seyn.","This is to say, that whether he or thou
"
